Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
16541,FUDhyM1yuiCHU5FiHQrGk9aQXYvxvmcitjUvVhgcGwL4,1,1,2,0.01,2,0.1169%
16542,FURiU5pKFGSwe2PxTqwWwkUyzFYL7Eqb8RSJ4WJr19yc,1,1,4,0.01,4,0.2338%
16543,FUWNWX59E8WogvrZrLzs6x3HRE8RvBXsW5vvL4Vymxme,1,1,4,0.01,4,0.2338%
16544,FUcxUgh8uBF1WPXvRVzhy2nkJoHE2HZsTaCmq6h4nfEd,1,1,2,0.01,2,0.1169%
16545,FUkMfiVAkP7yQnYc6Jhasx1eH5be9f6Pxoqip3yD4q8x,1,1,4,0.01,4,0.2338%
16546,FUrmEaNCnefosPwMTRLAERLbtiHmjCpMfmPP77mxSpKy,1,1,2,0.01,2,0.1169%
16547,FUtyrpnxf9oqUyQUfDcQLgSP7rqHdA8qe6kqPdY5RRNw,1,1,4,0.01,4,0.2338%
16548,FVWXCmu72dpQ2YhEZNQLyPV2jd4Y3ZzUiT3QDmojbo9Y,1,1,2,0.01,2,0.1169%
16549,FVdC15ENZcE98DvTsU4jTc9QL7TdsMDNGt5shUWMhTU8,1,1,2,0.01,2,0.1169%
16550,FW2kcg2HNiBfybY9sUwSSLnziPRPmoAZK5Y29nofTiin,1,1,2,0.01,2,0.1169%
16551,FW4XG85vFFFJgWqwnS3SygXuoZ3omW3yZrax4yx99Vnv,1,1,2,0.01,2,0.1169%
16552,FWw6n2zDqr6UJrRwNi6zHRXHmwqLiZXJ42sqfXptJEm1,1,1,4,0.01,4,0.2338%
16553,FXDaJiaftPCHgXrxGuaDT4MYVU2oUMXnWmihEwfQz42a,1,1,4,0.01,4,0.2338%
16554,FXuzjdAAPjCyUSk42fmKfBwMjFwt7Tyh5wvTiG6pfJEX,1,1,2,0.01,2,0.1169%
